Date,Predicted
2018-09-06,36364.5625
2018-09-07,36411.0
2018-09-10,36474.65625
2018-09-11,36553.08984375
2018-09-12,36640.67578125
2018-09-13,36734.10546875
2018-09-14,36828.609375
2018-09-17,36921.4921875
2018-09-18,37010.73828125
2018-09-19,37096.1015625
2018-09-20,37176.0546875
2018-09-21,37250.72265625
2018-09-27,37320.3046875
2018-09-28,37384.36328125
2018-10-01,37444.375
2018-10-02,37503.08203125
2018-10-04,37560.82421875
2018-10-05,37616.4140625
2018-10-08,37665.9140625
2018-10-10,37705.515625
2018-10-11,37734.0078125
2018-10-12,37751.1015625
2018-10-15,37758.15625
2018-10-16,37754.9609375
2018-10-17,37748.39453125
2018-10-18,37743.64453125
2018-10-19,37745.32421875
2018-10-22,37754.921875
2018-10-23,37774.74609375
2018-10-24,37807.26171875
2018-10-25,37852.89453125
2018-10-26,37909.46484375
2018-10-29,37972.8828125
2018-10-30,38040.1875
2018-10-31,38108.2265625
2018-11-01,38173.08984375
2018-11-02,38235.4375
2018-11-05,38298.265625
2018-11-06,38360.8203125
2018-11-07,38423.89453125
2018-11-08,38489.0703125
2018-11-09,38555.1484375
2018-11-12,38615.76171875
2018-11-13,38670.74609375
2018-11-14,38718.2109375
2018-11-15,38756.578125
2018-11-16,38780.3828125
2018-11-19,38788.65625
2018-11-20,38781.87890625
2018-11-21,38759.78125
2018-11-22,38719.7890625
2018-11-23,38659.84375
2018-11-26,38583.12109375
2018-11-27,38495.5625
2018-11-28,38399.00390625
2018-11-29,38296.58203125
2018-11-30,38189.47265625
2018-12-03,38080.67578125
2018-12-04,37971.1796875
2018-12-05,37864.6171875
2018-12-06,37761.89453125
2018-12-07,37662.58984375
2018-12-10,37565.1953125
2018-12-11,37469.65234375
2018-12-12,37377.7109375
2018-12-13,37290.296875
2018-12-14,37205.6015625
2018-12-17,37123.2265625
2018-12-18,37047.03125
2018-12-19,36979.0625
2018-12-20,36921.33984375
2018-12-21,36876.0
2018-12-24,36844.625
2018-12-26,36826.58203125
2018-12-27,36819.46875
2018-12-28,36823.06640625
2019-01-02,36836.22265625
2019-01-03,36857.79296875
2019-01-04,36889.5234375
2019-01-07,36932.25390625
2019-01-08,36979.38671875
2019-01-09,37021.09765625
2019-01-10,37054.98828125
2019-01-11,37079.6640625
2019-01-14,37093.1328125
2019-01-15,37094.0546875
2019-01-16,37078.078125
2019-01-17,37046.69140625
2019-01-18,37001.42578125
2019-01-21,36944.3515625
2019-01-22,36877.5703125
2019-01-23,36802.19921875
2019-01-24,36720.4921875
2019-01-25,36635.4609375
2019-01-28,36546.5234375
2019-01-29,36455.7265625
2019-01-30,36362.546875
2019-01-31,36266.83984375
2019-02-01,36170.13671875
2019-02-07,36075.26953125
2019-02-08,35983.26171875
2019-02-11,35894.13671875
2019-02-12,35804.4765625
2019-02-13,35712.421875
2019-02-14,35619.94921875
2019-02-15,35527.5390625
2019-02-18,35435.0234375
2019-02-19,35343.89453125
2019-02-20,35255.21484375
2019-02-21,35170.62109375
2019-02-22,35093.515625
2019-02-25,35023.74609375
2019-02-26,34961.1640625
2019-02-27,34902.84765625
2019-02-28,34844.01953125
2019-03-04,34781.05859375
2019-03-05,34713.19140625
2019-03-06,34644.046875
2019-03-07,34577.2578125
2019-03-08,34513.83203125
2019-03-11,34451.23046875
2019-03-12,34386.61328125
2019-03-13,34320.0
2019-03-14,34253.125
2019-03-15,34183.51953125
2019-03-18,34107.57421875
